City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Los Llanos De Aridane,ES,2021-04-11 22:20:42,28.6585,-17.9182,68.0,73,0,3.8,clear sky
60,Rudnogorsk,RU,2021-04-11 22:20:42,57.2639,103.7519,22.84,96,100,4.72,light snow
61,Whitianga,NZ,2021-04-11 22:20:42,-36.8333,175.7,73.0,92,97,3.85,overcast clouds
62,New Norfolk,AU,2021-04-11 22:16:58,-42.7826,147.0587,48.99,81,100,1.92,overcast clouds
63,Key West,US,2021-04-11 22:20:43,24.5557,-81.7826,84.2,70,40,5.75,scattered clouds
64,Sao Joao Da Barra,BR,2021-04-11 22:20:43,-21.6403,-41.0511,78.8,69,0,6.91,clear sky
65,Charters Towers,AU,2021-04-11 22:20:43,-20.1,146.2667,70.5,44,1,17.52,clear sky
66,Tuktoyaktuk,CA,2021-04-11 22:20:44,69.4541,-133.0374,-5.8,71,1,9.22,clear sky
67,Akyab,MM,2021-04-11 22:20:44,20.15,92.9,78.12,86,13,5.66,few clouds
68,Yellowknife,CA,2021-04-11 22:20:44,62.456,-114.3525,10.0,66,90,5.75,light snow
69,Teahupoo,PF,2021-04-11 22:20:44,-17.8333,-149.2667,86.0,66,75,14.97,broken clouds
70,Makasar,ID,2021-04-11 22:17:07,-5.14,119.4221,69.8,100,20,3.44,few clouds
71,Salalah,OM,2021-04-11 22:20:45,17.0151,54.0924,80.6,74,20,2.3,few clouds
72,Sturgeon Falls,CA,2021-04-11 22:20:45,46.3646,-79.9326,66.2,45,90,14.97,overcast clouds
73,Luderitz,NA,2021-04-11 22:20:45,-26.6481,15.1594,72.41,49,0,5.91,clear sky
74,Port Lincoln,AU,2021-04-11 22:16:59,-34.7333,135.8667,60.42,62,100,15.61,overcast clouds
75,Port Elizabeth,ZA,2021-04-11 22:20:46,-33.918,25.5701,60.8,100,40,3.44,scattered clouds
76,Plettenberg Bay,ZA,2021-04-11 22:20:46,-34.0527,23.3716,61.86,85,81,3.69,broken clouds
77,Dumlan,PH,2021-04-11 22:20:46,7.4275,125.8819,75.2,100,75,3.44,broken clouds
78,Port Alfred,ZA,2021-04-11 22:17:09,-33.5906,26.891,66.16,91,83,3.69,broken clouds
79,Manokwari,ID,2021-04-11 22:20:46,-0.8667,134.0833,78.06,78,95,3.94,overcast clouds
80,Okuchi,JP,2021-04-11 22:20:47,32.0667,130.6167,59.0,88,75,11.5,broken clouds
81,Khatanga,RU,2021-04-11 22:20:47,71.9667,102.5,16.11,84,98,11.25,overcast clouds
82,Atuona,PF,2021-04-11 22:15:54,-9.8,-139.0333,80.56,78,17,17.67,few clouds
83,Chuy,UY,2021-04-11 22:20:47,-33.6971,-53.4616,63.84,78,95,18.9,overcast clouds
84,Necochea,AR,2021-04-11 22:20:48,-38.5473,-58.7368,60.01,88,0,3.0,clear sky
85,Upington,ZA,2021-04-11 22:20:48,-28.4478,21.2561,69.8,40,0,2.3,clear sky
86,Peringat,MY,2021-04-11 22:20:48,6.0333,102.2833,77.0,94,40,2.3,scattered clouds
87,Kabalo,CD,2021-04-11 22:20:48,-6.05,26.9167,68.81,94,31,0.92,scattered clouds
88,Menongue,AO,2021-04-11 22:20:49,-14.6585,17.691,60.37,68,8,3.33,clear sky
89,Wad Madani,SD,2021-04-11 22:20:49,14.4012,33.5199,85.39,9,0,18.19,clear sky
90,Harper,LR,2021-04-11 22:20:49,4.375,-7.7169,81.27,81,59,8.19,broken clouds
91,Tocopilla,CL,2021-04-11 22:20:49,-22.092,-70.1979,69.37,70,27,8.23,scattered clouds
92,Luanda,AO,2021-04-11 22:19:49,-8.8368,13.2343,80.6,89,40,4.61,light rain
93,Makakilo City,US,2021-04-11 22:18:04,21.3469,-158.0858,69.8,73,90,4.61,heavy intensity rain
94,Longyearbyen,SJ,2021-04-11 22:20:50,78.2186,15.6401,19.4,63,75,16.11,broken clouds
95,Ust-Tsilma,RU,2021-04-11 22:20:50,65.441,52.1498,34.05,72,28,12.75,scattered clouds
96,Lorengau,PG,2021-04-11 22:20:50,-2.0226,147.2712,77.9,89,100,15.84,heavy intensity rain
97,Teguise,ES,2021-04-11 22:20:51,29.0605,-13.564,68.0,77,20,8.05,few clouds
98,Henties Bay,NA,2021-04-11 22:20:51,-22.116,14.2845,84.99,28,1,1.01,clear sky
99,Fonte Boa,BR,2021-04-11 22:20:51,-2.4959,-66.2662,77.4,88,100,0.98,overcast clouds
100,Cerro Largo,BR,2021-04-11 22:20:51,-28.1486,-54.7381,64.99,94,99,1.01,overcast clouds
101,Rawah,IQ,2021-04-11 22:20:52,34.4816,41.9093,58.91,31,0,7.7,clear sky
102,Corn Island,NI,2021-04-11 22:20:52,12.1694,-83.0418,81.72,78,66,10.69,broken clouds
103,Torbay,CA,2021-04-11 22:20:52,47.6666,-52.7314,33.01,100,90,12.66,fog
104,Fairbanks,US,2021-04-11 22:20:52,64.8378,-147.7164,30.0,37,90,11.5,overcast clouds
105,Dunedin,NZ,2021-04-11 22:20:53,-45.8742,170.5036,59.0,80,52,5.59,broken clouds
106,Port-Gentil,GA,2021-04-11 22:20:53,-0.7193,8.7815,77.0,94,20,2.3,few clouds
107,Nikolskoye,RU,2021-04-11 22:20:53,59.7035,30.7861,43.0,56,0,4.47,light rain
108,Taoudenni,ML,2021-04-11 22:20:54,22.6783,-3.9836,87.93,13,0,7.76,clear sky
109,Nanortalik,GL,2021-04-11 22:20:54,60.1432,-45.2371,36.19,63,0,5.14,clear sky
110,Montrose,US,2021-04-11 22:20:54,38.4166,-108.2673,68.0,10,1,8.01,clear sky
111,Vaini,TO,2021-04-11 22:20:54,-21.2,-175.2,80.6,69,20,5.75,few clouds
112,Cooma,AU,2021-04-11 22:20:55,-36.2333,149.1333,41.0,65,75,14.97,broken clouds
113,Pevek,RU,2021-04-11 22:20:55,69.7008,170.3133,-15.29,100,100,5.28,overcast clouds
114,Sylvania,US,2021-04-11 22:20:55,41.7189,-83.713,55.4,87,90,6.91,overcast clouds
115,Iquique,CL,2021-04-11 22:16:23,-20.2208,-70.1431,68.0,68,0,12.66,clear sky
116,Dongying,CN,2021-04-11 22:20:55,37.4564,118.4856,52.2,88,100,8.23,moderate rain
117,Cherskiy,RU,2021-04-11 22:20:56,68.75,161.3,-14.69,95,98,4.21,overcast clouds
118,Ilulissat,GL,2021-04-11 22:20:56,69.2167,-51.1,30.2,69,75,4.61,light snow
119,Kamenka,RU,2021-04-11 22:20:56,51.3223,42.7678,41.0,93,100,9.33,overcast clouds
120,Porto Walter,BR,2021-04-11 22:20:57,-8.2686,-72.7439,78.13,92,67,0.4,broken clouds
121,Havre,FR,2021-04-11 22:20:57,49.5833,0.3333,42.8,70,20,11.5,few clouds
122,Pingdu,CN,2021-04-11 22:20:57,36.7844,119.9464,53.6,87,90,8.95,light rain
123,Georgetown,MY,2021-04-11 22:20:57,5.4112,100.3354,81.0,94,40,2.3,scattered clouds
124,Bathsheba,BB,2021-04-11 22:19:39,13.2167,-59.5167,78.8,69,75,13.8,volcanic ash
125,Brae,GB,2021-04-11 22:16:43,60.3964,-1.353,35.6,75,63,9.22,broken clouds
126,Ilo,PE,2021-04-11 22:20:58,-17.6394,-71.3375,68.76,75,51,7.99,broken clouds
127,Saskylakh,RU,2021-04-11 22:16:35,71.9167,114.0833,14.94,93,89,8.72,overcast clouds
128,East London,ZA,2021-04-11 22:16:45,-33.0153,27.9116,70.84,85,100,3.13,overcast clouds
129,Dikson,RU,2021-04-11 22:20:58,73.5069,80.5464,30.24,92,100,23.73,overcast clouds
130,Stokmarknes,NO,2021-04-11 22:20:58,68.5646,14.9108,36.0,76,100,5.01,light snow
131,Tasiilaq,GL,2021-04-11 22:20:59,65.6145,-37.6368,26.6,68,0,5.59,clear sky
