City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Pundaguitan,PH,81.39,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
162,Beloha,MG,72.66,broken clouds,-25.1667,45.05,
163,Mahebourg,MU,73.4,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
165,Bambous Virieux,MU,75.99,moderate rain,-20.3428,57.7575,Casa Tia Villa
167,Dawei,MM,75.83,broken clouds,14.0833,98.2,Hotel Dawei
168,Kavieng,PG,80.76,light rain,-2.5744,150.7967,Nusa Island Retreat
169,Bilma,NE,87.13,few clouds,18.6853,12.9164,Expeditions Ténére voyages
171,Taltal,CL,67.68,overcast clouds,-25.4,-70.4833,Residencial Karime
174,Kailua,US,78.8,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
178,Souillac,MU,73.4,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
179,Inhambane,MZ,72.97,clear sky,-23.865,35.3833,Oceano
183,Sungaipenuh,ID,65.03,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
184,Moron,AR,72.0,mist,-34.6534,-58.6198,Hotel Morón
185,Riyadh,SA,95.0,few clouds,24.6877,46.7219,InterContinental Riyadh
186,Castro,BR,73.65,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
191,Takoradi,GH,80.98,light rain,4.8845,-1.7554,Raybow International Hotel
192,Tiarei,PF,86.0,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
193,Namatanai,PG,79.07,light rain,-3.6667,152.4333,Namatanai Hotel
195,Tura,IN,68.2,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
196,Honiara,SB,76.55,overcast clouds,-9.4333,159.95,Heritage Park Hotel
199,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
200,Hilo,US,77.0,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
201,East London,ZA,66.47,scattered clouds,-33.0153,27.9116,Tu Casa
202,Oneida,US,69.8,light rain,43.2001,-75.4663,Wingate By Wyndham Rome
204,Sakakah,SA,73.4,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
206,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
208,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
209,Kidal,ML,88.79,clear sky,18.4411,1.4078,
211,Padre Bernardo,BR,75.87,overcast clouds,-15.35,-48.5,
214,Bitkine,TD,91.56,clear sky,11.9801,18.2138,
217,Marawi,PH,77.0,overcast clouds,7.9986,124.2928,Derogongan Residence
218,Mlonggo,ID,79.14,scattered clouds,-6.5333,110.7,Asia Metal Art
219,Rawatsar,IN,77.67,clear sky,29.2833,74.3833,Honda Service Center
220,Hamilton,US,79.0,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
221,Gaozhou,CN,68.85,overcast clouds,21.9392,110.8461,望江楼旅业
222,Bahia Honda,CU,85.44,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
223,Cayenne,GF,86.0,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
224,Puerto Gaitan,CO,75.83,overcast clouds,4.3133,-72.0816,Brisas del Yucao
226,Geraldton,AU,80.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
227,Quatre Cocos,MU,75.99,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
228,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
229,Moerai,PF,78.85,overcast clouds,-22.4333,-151.3333,Le Manotel
230,Charters Towers,AU,70.05,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
231,Isangel,VU,78.66,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
232,Bagaces,CR,86.0,broken clouds,10.5271,-85.2548,Cabinas Tamarindo Bagaces
233,West Plains,US,82.99,broken clouds,36.7281,-91.8524,West Plains Motel
236,Kalianget,ID,79.84,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
237,Rio Grande,BR,87.8,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
238,Sao Joao Da Barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
